쌀밥,쑥갓어묵국,삶은계란,바나나(손),황태갈비산적,깍두기,애호박나물,,,3
현미찹쌀밥,쇠고기미역국,궁중왕만두,콩나물무침(흰색),배추김치,갈치무조림,,,,3
보리찹쌀밥,시레기된장국,오리불고기,양배추,다시마쌈,실곤약무침,총각김치,무지개떡,,3
현미찹쌀밥,쑥갓어묵국,시금치나물,닭감자볶음,깍두기,아몬드후레이크/우유,,,,3
클로렐라쌀밥,조랭이떡국,안동찜닭,도토리묵무침,배추김치,상추/쌈장,금귤,,,2
뿌리채소밥,우동,깍두기,바나나(손),초코머핀,,,,,2
햄우엉야채볶음밥,계란파국,파크리카버섯채볶음,깍두기,방울토마토,크로와상(청정원)/잼,,,,3
차조밥,콩비지찌개,코다리강정/두반장,배추김치,사과,감자채볶음,시금치나물,,,2
쌀밥,애호박된장찌개,닭꼬지,멸치볶음,참치김치볶음,깍두기,,,,3
쌀밥,경단미역국,삼색소시지통구이/케첩,도토리묵무침,배추김치,절편(개),,,,2
흑미찹쌀밥,등뼈감자탕,버섯군만두(개),마늘쫑어묵볶음,배추김치,애호박나물,,,,3
쌀밥,근대된장국,돼지수육,상추/쌈장,양파와사비절임,배추김치,무말랭이무침,,,2
쌀밥,크로와상,김구이(완제),어묵볶음,배추김치,우유,햄구이,양상치, 치즈,2
날치알김치볶음밥,계란파국,깍두기,우유,치킨텐더야채크레페,바나나(손),,,,3
쌀밥,치즈케익,시레기된장국,돈나물무침,돈육김치볶음,총각김치,방울토마토,,,2
과일샐러드,단호박카레라이스,계란파국,배추김치,야채어묵조림,돌스위티오파인쥬스,,,,2
쌀밥,조갯살된장국,모듬잡채,계란장조림,콩나물무침(흰색),배추김치,,,,3
차조밥,동태국,너비아니야채조림,미역줄기볶음,배추김치,사과,팥송편,,,3
현미찹쌀밥,맑은콩나물국,돈육떡볶음,느타리피망볶음,배추김치,시금치나물,,,,3
굴소스해물볶음밥,계란파국,깍두기,깨찰빵,엔요,바나나(손),,,,2
쌀밥,해물된장국,닭다리구이,도라지오이무침,배추김치,오렌지,,,,2
돈육콩나물국밥(냉면기),부추생채,배추김치,바나나(손),단호박전,,,,,3
옥수수밥,애호박된장찌개,갈치무조림,만두탕수,가지나물,총각김치,,,,2
영양밥,꽃게탕,스팸야채볶음,깻잎지(완제),친환경모듬쌈,파인애플,우유,,,2
자장라이스,유부된장국,깍두기,단무지,인절미,바나나(손),,,,2
삼색나물사리,배추김치,현미찹쌀밥,참치김치찌개,치즈등심돈까스/데리소스,군고구마,우유,,,2
쌀밥,물만두국,오곡찐빵,찐두부/김치볶음,김구이(완제),깍두기,엔요,,,2
쌀밥,낙지두부국,고등어무조림,겨울초겉절이,검은깨올방개묵,배추김치,,,,3
쌀밥,애호박된장찌개,표고돼지갈비찜,상추겉절이,멸치볶음,배추김치,,,,3
차조밥,곰탕,삼치구이,김구이(완제),깍두기,우유,,,,2
조기구이/양념장,알감자조림,시금치나물,깍두기,현미찹쌀밥,멸치김치찌개,,,,3
닭갈비야채볶음밥,유부된장국,송편(인 개),깍두기,오렌지,,,,,2
쌀밥,북어계란국,연두부/양념장,시금치나물,돈육김치볶음,깍두기,귤,,,3
삼겹살김치볶음밥,냉이된장국,과일샐러드,배추김치,엔요,슈슈케익,,,,2
쌀밥,근대된장국,오향장육,상추/쌈장,양파와사비절임,배추김치,오렌지,,,3
현미찹쌀밥,단호박수제비국,오징어젓갈,함박스테이크,배추김치,초코우유,방울토마토,함박스테이크소스,,2
쌀밥,등뼈감자탕,달래오이생채,김치전,홍게살크레볼/케첩,석박지,,,,3
콩나물무침(흰색),쌀밥,동태국,계란떡볶이,김말이튀김,배추김치,멜론,,,3
현미찹쌀밥,버섯전골,시금치나물,닭봉떡조림,총각김치,엔요,절편,,,3
꽁보리밥,꼬지어묵국,도토리묵,숙주나물,오리불고기,깍두기,,,,3
쌀밥,맑은콩나물국,두부구이,참나물,닭다리구이,깍두기,요플레,,,3
현미찹쌀밥,맑은콩나물국,멸치아몬드볶음,낙지볶음,어린새송이버섯볶음,배추김치,,,,3
검정콩밥,대구매운탕,알감자조림,무생채,미트볼떡꼬지강정,배추김치,,,,3
쌀밥,영계백숙마리,속배추겉절이,깍두기,귤,,,,,2
쌀밥,냉이된장국,양념꼬막,검은깨올방개묵,배추김치,도마슈노플레인,바나나(손),,,2
옥수수밥,부대찌개,비름나물,어묵송이버섯볶음,갈치구이/양념장,깍두기,,,,3
갈비산적아채볶음밥,오곡찐빵,계란파국,깍두기,요구르트(이오),토마토,요구르트드레싱,,,2
쌀밥,물만두국,베이컨감자채볶음,칼슘깻잎육전,총각김치,한방떡,,,,2
오므라이스,유부된장국,케이준치킨샐러드,총각김치,오렌지,,,,,2
쌀밥,크로와상,김구이(완제),어묵볶음,배추김치,우유,햄구이,양상치, 치즈,3
잔치국수,치즈케익,깍두기,사과,퓨어(저지방),,,,,2
현미찹쌀밥,경단미역국,청포묵김가루무침,콩나물무침,조기구이/양념장,배추김치,참외,,,3
흑미찹쌀밥,딸기도넛,근대된장국,깐쇼새우/칠리소스,배추김치,사과,양배추,다시마쌈,,2
쌀밥,사리곰탕(기숙사),오이부추생채,깍두기,삼치구이,요플레,,,,3
클로렐라쌀밥,맑은콩나물국,표고돼지갈비찜,쥐취채무침,김가루계란말이,총각김치,,,,3
