참치야채비빔밥,,방아멸치시락국,식빵피자토스트,,,배추김치,,,바나나,,3
현미찹쌀밥,,조갯살미역국,모닝빵/잼,새송이불고기,오이무침,배추김치,,,,상추/쌈장,2
쌀밥,,순두부찌개,,고등어자반구이,,김치전,바나나,다시마쌈,양배추,깍두기,3
돈육콩나물국밥,,,달걀빵,깍두기,,,,방울토마토,,부추생채,2
쌀밥,,조랭이떡국,,,시금치나물,배추김치,우유,두루치기,방울토마토,,2
오므라이스,,유부된장국,함박스테이크소스,멸치볶음,인절미,배추김치,,,파인애플,,2
쌀밥,,,모닝빵/잼,감자샐러드,,총각김치,,오렌지,라볶이,꽃게탕,2
쌀밥,,쑥갓어묵국,,황태갈비산적,애호박나물,깍두기,,바나나,,삶은달걀,3
현미찹쌀밥,,쇠고기미역국,,,콩나물무침,배추김치,,,갈치무조림,궁중왕만두,3
보리찹쌀밥,,시레기된장국,,오리불고기,실곤약무침,총각김치,,무지개떡,다시마쌈,양배추,3
현미찹쌀밥,,쑥갓어묵국,,닭감자볶음,시금치나물,깍두기,아몬드후레이크/우유,,,,3
클로렐라쌀밥,,조랭이떡국,,안동찜닭,도토리묵무침,배추김치,,,귤,상추/쌈장,2
뿌리채소밥,,,,,,깍두기,우동,초코머핀,바나나,,2
햄우엉야채볶음밥,,달걀파국,,,,깍두기,파크리카버섯채볶음,크로와상/잼,방울토마토,,3
차조밥,,콩비지찌개,,,시금치나물,배추김치,코다리강정/두반장,,사과,감자채볶음,2
쌀밥,,애호박된장찌개,,닭꼬지,,참치김치볶음,멸치볶음,,깍두기,,3
쌀밥,,경단미역국,,,도토리묵무침,배추김치,,,절편,삼색소시지통구이/케첩,2
흑미찹쌀밥,,,,,애호박나물,배추김치,,마늘쫑어묵볶음,버섯군만두,등뼈감자탕,3
쌀밥,,근대된장국,,돼지수육,무말랭이무침,배추김치,,,양파와사비절임,상추/쌈장,2
쌀밥,,, 치즈,양상치,햄구이,배추김치,우유,김구이,어묵볶음,크로와상,2
날치알김치볶음밥,,달걀파국,,치킨텐더야채크레페,우유,깍두기,,,바나나,,3
쌀밥,,시레기된장국,치즈케이크,,돈나물무침,돈육김치볶음,,방울토마토,총각김치,,2
단호박카레라이스,과일샐러드,달걀파국,,,,배추김치,돌스위티오파인주스,야채어묵조림,,,2
쌀밥,,조갯살된장국,,,콩나물무침,배추김치,,,달걀장조림,모듬잡채,3
차조밥,,동태국,,,,배추김치,미역줄기볶음,사과,팥송편,너비아니야채조림,3
현미찹쌀밥,,맑은콩나물국,,,시금치나물,배추김치,,,느타리피망볶음,돈육떡볶음,3
굴소스해물볶음밥,,달걀파국,깨찰빵,깍두기,,,,바나나,엔요,,2
쌀밥,,해물된장국,,닭다리구이,도라지오이무침,배추김치,,,,오렌지,2
돈육콩나물국밥,,,,,,배추김치,부추생채,단호박전,바나나,,3
옥수수밥,,애호박된장찌개,,,가지나물,총각김치,,,만두탕수,갈치무조림,2
영양밥,,,,,우유,파인애플,친환경모듬쌈,깻잎지,스팸야채볶음,꽃게탕,2
자장라이스,,유부된장국,,,,깍두기,,바나나,인절미,단무지,2
현미찹쌀밥,배추김치,참치김치찌개,,치즈등심돈까스/데리소스,삼색나물사리,,우유,군고구마,,,2
쌀밥,,물만두국,오곡찐빵,,,찐두부/김치볶음,,엔요,깍두기,김구이,2
쌀밥,,낙지두부국,,고등어무조림,,배추김치,검은깨올방개묵,,,겨울초겉절이,3
쌀밥,,애호박된장찌개,,표고돼지갈비찜,,배추김치,멸치볶음,,,상추겉절이,3
차조밥,,,,,,깍두기,우유,삼치구이,김구이,곰탕,2
현미찹쌀밥,깍두기,멸치김치찌개,,,시금치나물,알감자조림,,,,조기구이/양념장,3
닭갈비야채볶음밥,,유부된장국,,,,깍두기,송편,,오렌지,,2
쌀밥,,북어달걀국,,,시금치나물,돈육김치볶음,,귤,깍두기,연두부/양념장,3
삼겹살김치볶음밥,,냉이된장국,슈슈케이크,엔요,,배추김치,과일샐러드,,,,2
쌀밥,,근대된장국,,,,배추김치,양파와사비절임,오렌지,상추/쌈장,오향장육,3
현미찹쌀밥,,단호박수제비국,,,함박스테이크소스,배추김치,초코우유,방울토마토,함박스테이크,오징어젓갈,2
쌀밥,,,,,,김치전,달래오이생채,홍게살크레볼/케첩,석박지,등뼈감자탕,3
쌀밥,콩나물무침,동태국,,,,배추김치,김말이튀김,멜론,달걀떡볶이,,3
현미찹쌀밥,,버섯전골,,닭봉떡조림,시금치나물,총각김치,,절편,엔요,,3
꽁보리밥,,꼬지어묵국,,오리불고기,숙주나물,깍두기,,,,도토리묵,3
쌀밥,,맑은콩나물국,,닭다리구이,참나물,깍두기,요플레,,,두부구이,3
현미찹쌀밥,,맑은콩나물국,,,,배추김치,어린새송이버섯볶음,,낙지볶음,멸치아몬드볶음,3
검정콩밥,,,,,,배추김치,미트볼떡꼬지강정,무생채,알감자조림,대구매운탕,3
쌀밥,,영계백숙마리,,,,깍두기,속배추겉절이,,귤,,2
쌀밥,,냉이된장국,,,,배추김치,검은깨올방개묵,도마슈노플레인,바나나,양념꼬막,2
옥수수밥,,부대찌개,,,비름나물,깍두기,갈치구이/양념장,,,어묵송이버섯볶음,3
갈비산적아채볶음밥,,달걀파국,오곡찐빵,,,깍두기,요구르트드레싱,,토마토,요구르트,2
쌀밥,,물만두국,,,,총각김치,칼슘깻잎육전,한방떡,,베이컨감자채볶음,2
오므라이스,,유부된장국,,케이준치킨샐러드,,총각김치,,,,오렌지,2
쌀밥,,, 치즈,양상치,햄구이,배추김치,우유,김구이,어묵볶음,크로와상,3
,잔치국수,,치즈케이크,,,깍두기,,,퓨어,사과,2
현미찹쌀밥,,경단미역국,,,청포묵김가루무침,배추김치,조기구이/양념장,참외,,콩나물무침,3
흑미찹쌀밥,,근대된장국,딸기도넛,,다시마쌈,배추김치,깐쇼새우/칠리소스,사과,양배추,,2
쌀밥,,,,,,깍두기,요플레,사리곰탕,삼치구이,오이부추생채,3
클로렐라쌀밥,,맑은콩나물국,,표고돼지갈비찜,쥐취채무침,총각김치,김가루달걀말이,,,,3
쌀밥,,북어달걀국,,,,참치김치볶음,초코우유,사과,비엔나야채볶음,석박지,3
비빔밥,,유부된장국,검은콩우유,,,배추김치,단호박전,,오렌지,,2
옥수수밥,,,,닭감자탕,,배추김치,왕찐만두/양념장,상추겉절이,상추겉절이,두부구이/양념장,3
검정쌀밥구암,,애호박된장찌개,,,취나물된장무침,총각김치,요플레,,파프리카해물완자전,귤,3
카레라이스,,부추달걀국,,닭꼬지,,배추김치,,,바이오거트,방울토마토,2
쌀밥,,돈육김치찌개,리쪼,고등어무조림,,깍두기,,,검은깨올방개묵,겨울초겉절이,3
오곡밥,,황태맑은국,,,,우유,초코머핀,오렌지,김가루달걀말이,오이소박이,3
보리찹쌀밥,,미더덕된장국,,,,배추김치,두루치기,사과,오징어젓갈,순대,2
현미찹쌀밥,,조랭이떡국,,,,배추김치,건새우마늘쫑볶음,파인애플,상추겉절이,돈육메추리알장조림,3
흑미찹쌀밥,,,,,,배추김치,연두부/양념장,토마토,애호박전/양념간장,사리곰탕,2
참치야채비빔밥,,맑은콩나물국,,,,깍두기,요구르트,바나나,딸기도넛,,2
검정콩밥,,부대찌개,,,시금치나물,배추김치,,,연근조림,깐풍기,2
검정콩밥,,콩비지찌개,,멸치볶음,홍게실까스/머스터드,총각김치,,사과,썬업,,3
쌀밥,,애호박된장찌개,,,,검은깨찐두부/돈육김치볶음,,,상추겉절이,배추김치,3
흑미찹쌀밥,,쇠고기미역국,,,,배추김치,요플레,볶음우동,해물파전,방울토마토,2
자장라이스,,달걀파국,,,,깍두기,과일샐러드,,삼색경단,,2
현미찹쌀밥,,,,,콩나물무침,배추김치,,어린새송이버섯볶음,비빔만두,등뼈감자탕,2
주먹밥,김치말이국수,,,,,배추김치,요플레,토마토,,바이오거트,2
차조밥,,문어두부국,,닭다리알감자조림,,배추김치,구트,방울토마토,,연근땅콩조림,3
굴소스해물볶음밥,,유부된장국,,케이준치킨샐러드,,깍두기,요구르트,,,파인애플,2
쌀밥,,청국장찌개,,돼지수육,,배추김치,상추/쌈장,,,양파와사비절임,2
영양밥,,방아멸치시락국,,,숙주나물,배추김치,엔요,미니메이플피칸파이,,베이컨감자채볶음,3
쌀밥,,경단미역국,,오리불고기,연근조림,배추김치,요플레,,상추겉절이,,2
쌀밥,,애호박된장찌개,식빵피자토스트,배추김치,갑오징어야채무침,달걀찜,,,취나물된장무침,,3
쌀밥,,시레기된장국,,닭감자볶음,브로컬리/초고추장,배추김치,,스크램블드에그,엔요,,3
꽁보리밥,,쑥갓어묵국,,,,배추김치,오리훈제,무쌈,도토리묵,부추생채,2
뿌리채소밥,우동,,,,,,왕새우튀김,수박,단무지,,2
흑미찹쌀밥,,시레기된장국,,닭야채볶음,시금치나물,깍두기,아몬드후레이크/우유,,,,2
쌀밥,,미더덕된장국,,,참나물,배추김치,애느타리버섯볶음,요거트푸딩,,오징어떡볶이,3
브로컬리볶음밥,우유,,,,,깍두기,,수제새우버거,,딸기,2
쌀밥,,북어달걀국,,,,참치김치볶음,초코우유,사과,해물완자전,석박지,3
뿌리채소밥,,,,닭다리구이,숙주나물,총각김치,꽃게탕,바나나,오이소박이,,2
현미찹쌀밥,,조랭이떡국,파인애플,,,배추김치,달걀장조림,건새우마늘쫑볶음,,모듬잡채,2
쌀밥,,해물된장국,,,,배추김치,미니메이플피칸파이,파인애플,감자채볶음,버섯볶음,3
흑미찹쌀밥,,북어달걀국,순대,,콩나물무침,깍두기,후르츠탕수육,,,,2
